reached_destination_time,sim_corridor_travel_min,sim_corridor_travel_s,sim_trip_completed,departed_stop_time,arrived_at_stop_time,total_elapsed_min,obs_id,session,trip_direction,origin_terminal,destination_terminal,coordinates,origin_coordinates,destination_coordinates,scenario_id,scenario_group,policy,signal_pattern,encounter_pattern,encounter_1_green,encounter_2_green,bus_company,route,traffic_condition,crowding_level,relocate_mask,informal_mask,formal_mask,encounter_mask,service_mode,adhoc_informal_count,sim_minus_session_reference_min,session_onboard_reference_min_jan18,session_onboard_reference_note,corridor_length_m,sim_avg_speed_kmh,sim_implied_speed_kmh,sim_delay_s,field_speed_cap_kmh,traffic_mode,mixed_traffic,boarding,alighting,dwell_at_stop_s,calibration_profile,session_speed_band_kmh_jan18
06:19:46,7.49,449.2,True,06:12:17,06:12:00,7.77,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,G-G,G-G,True,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,26.09,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:49:00,7.6,456.2,True,06:41:24,06:41:00,8.0,5,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,G-G,G-G,True,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,25.69,,45.44,mixed,True,3.0,5.0,24.0,june2026,29.18-45.44
06:11:49,9.3,557.8,True,06:02:32,06:02:00,9.82,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",D_optimized,policy,optimized_formal_only,G-G,G-G,True,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,21.01,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:19:23,7.1,426.0,True,06:12:17,06:12:00,7.38,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,G-R,G-R,True,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,27.51,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:48:37,7.22,433.0,True,06:41:24,06:41:00,7.62,5,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,G-R,G-R,True,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,27.06,,45.44,mixed,True,3.0,5.0,24.0,june2026,29.18-45.44
06:13:26,10.91,654.6,True,06:02:32,06:02:00,11.43,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",D_optimized,policy,optimized_formal_only,G-R,G-R,True,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,17.9,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:19:51,7.57,454.0,True,06:12:17,06:12:00,7.85,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,R-G,R-G,False,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,25.81,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:49:00,7.6,456.2,True,06:41:24,06:41:00,8.0,5,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,R-G,R-G,False,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,25.69,,45.44,mixed,True,3.0,5.0,24.0,june2026,29.18-45.44
06:11:26,8.91,534.6,True,06:02:32,06:02:00,9.43,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",D_optimized,policy,optimized_formal_only,R-G,R-G,False,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,21.92,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:19:51,7.57,454.0,True,06:12:17,06:12:00,7.85,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,R-R,R-R,False,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,25.81,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:48:58,7.57,454.0,True,06:41:24,06:41:00,7.97,5,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,R-R,R-R,False,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,25.81,,45.44,mixed,True,3.0,5.0,24.0,june2026,29.18-45.44
06:13:03,10.52,631.4,True,06:02:32,06:02:00,11.05,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",D_optimized,policy,optimized_formal_only,R-R,R-R,False,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.56,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
12:28:21,9.81,588.6,True,12:18:33,12:18:00,10.35,2,Lunch,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,G-G,G-G,True,True,San Agustin,PITX - Lawton,Moderate,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.2,19.91,,31.2,mixed,True,0.0,5.0,33.0,june2026,25.18-31.20
12:16:29,9.12,547.1,True,12:07:22,12:07:00,9.48,6,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",D_optimized,policy,optimized_formal_only,G-G,G-G,True,True,San Agustin Transport Service Corp.,Nasugbu,Light,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,21.42,,45.44,mixed,True,2.0,2.0,22.0,june2026,29.18-45.44
12:46:35,9.17,550.1,True,12:37:25,12:37:00,9.58,7,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",D_optimized,policy,optimized_formal_only,G-G,G-G,True,True,San Agustin Transport Service Corp.,Mendez,Light,Medium,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,21.3,,45.44,mixed,True,5.0,3.0,25.0,june2026,29.18-45.44
12:27:50,9.29,557.6,True,12:18:33,12:18:00,9.83,2,Lunch,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,G-R,G-R,True,False,San Agustin,PITX - Lawton,Moderate,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.2,21.02,,31.2,mixed,True,0.0,5.0,33.0,june2026,25.18-31.20
12:18:05,10.73,643.9,True,12:07:22,12:07:00,11.08,6,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",D_optimized,policy,optimized_formal_only,G-R,G-R,True,False,San Agustin Transport Service Corp.,Nasugbu,Light,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.2,,45.44,mixed,True,2.0,2.0,22.0,june2026,29.18-45.44
12:48:11,10.78,646.9,True,12:37:25,12:37:00,11.18,7,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",D_optimized,policy,optimized_formal_only,G-R,G-R,True,False,San Agustin Transport Service Corp.,Mendez,Light,Medium,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.11,,45.44,mixed,True,5.0,3.0,25.0,june2026,29.18-45.44
12:28:21,9.81,588.6,True,12:18:33,12:18:00,10.35,2,Lunch,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,R-G,R-G,False,True,San Agustin,PITX - Lawton,Moderate,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.2,19.91,,31.2,mixed,True,0.0,5.0,33.0,june2026,25.18-31.20
12:16:00,8.65,518.9,True,12:07:22,12:07:00,9.0,6,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",D_optimized,policy,optimized_formal_only,R-G,R-G,False,True,San Agustin Transport Service Corp.,Nasugbu,Light,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,22.58,,45.44,mixed,True,2.0,2.0,22.0,june2026,29.18-45.44
12:46:06,8.7,521.9,True,12:37:25,12:37:00,9.1,7,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",D_optimized,policy,optimized_formal_only,R-G,R-G,False,True,San Agustin Transport Service Corp.,Mendez,Light,Medium,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,22.45,,45.44,mixed,True,5.0,3.0,25.0,june2026,29.18-45.44
12:27:50,9.29,557.6,True,12:18:33,12:18:00,9.83,2,Lunch,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,R-R,R-R,False,False,San Agustin,PITX - Lawton,Moderate,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.2,21.02,,31.2,mixed,True,0.0,5.0,33.0,june2026,25.18-31.20
12:17:37,10.26,615.7,True,12:07:22,12:07:00,10.62,6,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",D_optimized,policy,optimized_formal_only,R-R,R-R,False,False,San Agustin Transport Service Corp.,Nasugbu,Light,Low,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,19.03,,45.44,mixed,True,2.0,2.0,22.0,june2026,29.18-45.44
12:47:43,10.31,618.7,True,12:37:25,12:37:00,10.72,7,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",D_optimized,policy,optimized_formal_only,R-R,R-R,False,False,San Agustin Transport Service Corp.,Mendez,Light,Medium,00000,000,111,111000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.94,,45.44,mixed,True,5.0,3.0,25.0,june2026,29.18-45.44
16:27:56,20.05,1203.2,True,16:07:53,16:07:00,20.93,8,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,G-G,G-G,True,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Heavy,High,00000,000,111,111000,full,0,0.05,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.24,9.74,,31.24,mixed,True,3.0,13.0,53.0,june2026,24.56-31.24
16:42:18,20.05,1203.0,True,16:22:15,16:22:00,20.3,3,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,G-G,G-G,True,True,San Agustin,Pasay,Heavy,Medium,00000,000,111,111000,full,0,0.05,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.24,9.74,,31.24,mixed,True,4.0,0.0,15.0,june2026,24.56-31.24
17:01:52,20.05,1203.1,True,16:41:49,16:41:00,20.87,9,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,G-G,G-G,True,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Heavy,High,00000,000,111,111000,full,0,0.05,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.24,9.74,,31.24,mixed,True,4.0,9.0,49.0,june2026,24.56-31.24
16:27:56,20.05,1203.2,True,16:07:53,16:07:00,20.93,8,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,G-R,G-R,True,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Heavy,High,00000,000,111,111000,full,0,0.05,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.24,9.74,,31.24,mixed,True,3.0,13.0,53.0,june2026,24.56-31.24
16:42:18,20.05,1203.0,True,16:22:15,16:22:00,20.3,3,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,G-R,G-R,True,False,San Agustin,Pasay,Heavy,Medium,00000,000,111,111000,full,0,0.05,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.24,9.74,,31.24,mixed,True,4.0,0.0,15.0,june2026,24.56-31.24
17:01:52,20.05,1203.2,True,16:41:49,16:41:00,20.87,9,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,G-R,G-R,True,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Heavy,High,00000,000,111,111000,full,0,0.05,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.24,9.74,,31.24,mixed,True,4.0,9.0,49.0,june2026,24.56-31.24
16:27:56,20.05,1203.2,True,16:07:53,16:07:00,20.93,8,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,R-G,R-G,False,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Heavy,High,00000,000,111,111000,full,0,0.05,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.24,9.74,,31.24,mixed,True,3.0,13.0,53.0,june2026,24.56-31.24
16:42:18,20.05,1203.0,True,16:22:15,16:22:00,20.3,3,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,R-G,R-G,False,True,San Agustin,Pasay,Heavy,Medium,00000,000,111,111000,full,0,0.05,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.24,9.74,,31.24,mixed,True,4.0,0.0,15.0,june2026,24.56-31.24
17:01:52,20.05,1203.1,True,16:41:49,16:41:00,20.87,9,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,R-G,R-G,False,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Heavy,High,00000,000,111,111000,full,0,0.05,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.24,9.74,,31.24,mixed,True,4.0,9.0,49.0,june2026,24.56-31.24
16:27:56,20.05,1203.2,True,16:07:53,16:07:00,20.93,8,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,R-R,R-R,False,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Heavy,High,00000,000,111,111000,full,0,0.05,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.24,9.74,,31.24,mixed,True,3.0,13.0,53.0,june2026,24.56-31.24
16:42:18,20.05,1203.0,True,16:22:15,16:22:00,20.3,3,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,R-R,R-R,False,False,San Agustin,Pasay,Heavy,Medium,00000,000,111,111000,full,0,0.05,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.24,9.74,,31.24,mixed,True,4.0,0.0,15.0,june2026,24.56-31.24
17:01:52,20.05,1203.2,True,16:41:49,16:41:00,20.87,9,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",D_optimized,policy,optimized_formal_only,R-R,R-R,False,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Heavy,High,00000,000,111,111000,full,0,0.05,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.24,9.74,,31.24,mixed,True,4.0,9.0,49.0,june2026,24.56-31.24
